Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
5;1001805;Форма банка (без печати работодателя);Покупка автомобиля;1;0.2;мужской;2;0;высшее;менеджер высшего звена;< 50;0;94;40;Торговля;ООО;женат / замужем;0;0;0;0;0;0.0208333333;1;0;0;0;0.5;2;2;94;4;0;1;23;72;1;0;0;0;0;0;0
5;1001825;Форма банка (без печати работодателя);Ремонт;1;0.23;мужской;1;0;высшее;рабочий;>250;0;100;30;Торговля;ООО;женат / замужем;3;1;1;1;1;0.0209424084;0;1;1;0;0.0666666667;1;14;187;15;1;1;2;89;1;0;0;0;0;0;0
5;1001845;Форма банка (без печати работодателя);Ремонт;0;0.56;женский;1;0;Высшее/Второе высшее/Ученая степень;рабочий;>250;0;209;52;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1001865;Форма банка (без печати работодателя);Ремонт;1;0.51;женский;2;0;среднее;специалист;>250;0;81;32;Сельское и лесное хозяйство;ЗАО;женат / замужем;3;1;0;0;0;0.0081967213;0;1;1;0;0.3;3;7;121;10;2;1;2;109;1;0;0;0;0;0;0
5;1001885;Форма банка (без печати работодателя);Ремонт;1;0.39;женский;0;0;высшее;специалист;>250;0;19;31;Другое;ООО;холост / не замужем;1;1;0;0;0;0.0526315789;0;0;0;0;0.1428571429;1;6;108;7;0;1;61;104;1;0;0;0;0;0;0
5;1001905;Свободная форма с печатью работодателя;Ремонт;1;0.28;мужской;0;0;второе высшее;специалист;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1001925;Поступление зарплаты на счет;Покупка недвижимости/ строительство;1;0.3;мужской;0;0;среднее-специальное;рабочий;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1001945;Форма банка (без печати работодателя);Покупка бытовой техники;1;0.46;мужской;1;0;среднее-специальное;менеджер среднего звена;< 50;0;15;34;Другое;ООО;женат / замужем;8;2;2;1;1;0.285198556;0;2;2;0;0.5833333333;7;5;198;12;4;1;2;71;1;1;0;0;0;0;0
5;1001965;Поступление зарплаты на счет;Обучение;0;0.3;женский;0;0;высшее;менеджер среднего звена;>250;1;70;38;Торговля;ЗАО;разведен / разведена;1;0;0;0;0;0.1052631579;0;1;0;0;0.6666666667;2;1;17;3;2;0;3;61;1;1;1;1;1;0;0
5;1001985;2НДФЛ;Ремонт;1;0.26;мужской;2;0;среднее-специальное;рабочий;>250;0;14;39;Другое;ООО;женат / замужем;0;0;0;0;0;0;0;0;0;0;0.25;1;3;20;4;0;1;12;20;0;0;0;0;0;0;0
